ORD,Community,Tequitl,NameShort,Cabecera,TequitlCenter,TequitlOrd,Barrios,East,North,DoubleCount,Inns,Markets,ProvCenters,WetIrrigAG,WetlandAG,IrrigationAG,TemporalAG,Pop1588,TotalHH,Muertos,Tlatoque,Pilli,Pilli_PNO,Aruacil_N,Icnocihua_N,Huehue_N,Coxcoxqui_N,Ixcoxcoxqui_N,Tepilhuime,Pilaquistiltin,Mopilaque,Farmers_Ix,Tlacoti,Huehue_C,Icnocihua_C,DelcadoYcniuan,Icnoquichtli,Oquichtli,Ocholco,IcnopiltzintliChancua,Cocoxsque_C,Tozanpotzaliciui,Mocuaxelo,Xochicihui,Macocoua,Cuauhyeso,Ixcocoxque_C,Icxicocoxqui,Ixpazaual,Ixpopoyototl,Hapanhuitzoqui,Huillantzi,Ixitepotzin,Macocoxqui,Mimiqui,Tepotzotli,Nanahuati,Xocuepitzin,Tepotzonquizqui,Macotequi,Farmers_C,Macuiltecpanpixqui_C,Macuiltecpanpixqui_Ix,Macuiltecpanpixqui_N,Nauhtecpanpixqui_C,Nauhtecpanpixqui_Ix,Yeitecpanpixqui_C,Yeitecpanpixqui_N,Ometecpanpixqui_C,Centecpanpixqui_C,Centecpanpixqui_Ix,Centecpanpixqui_Mer,Centecpanpixqui_N,Coxcoxcapixqui_C,Tequicapitan_C,Tequicapitan_Ix,Tequicapitan_N,Capitan_C,Capitan_Ix,Tequitlatoque_C,Topille_C,Topille_Ix,Topille_N,Tepixqui_C,Tepixqui_Ix,Tepixqui_N,Merino_C,Merino_Ix,Merino_Mop,Merino_N,Tepia_C,Petlatecac,Petlachiuhque,Tolpetlachiuhque,Tlatlama,Anqui,Tlaxcalchiua,Cotzinero,Cuauxinqui,Tlaxinqui,Tezozoqui,Tetzotzonque,Texinqui,Cacchiuhque,Caczoque,Tzauhqui,Amantecatl,Toltecatl,Merchants,OyaquiSanFran,Nauapatlaca,Otonpantlaca,YchanQuimistlan,Tepati,Tlama,Quilanemi,Tlacuilo,Cuicani,Teopantlaca,Comunidadnemi,Tlapitzqui,Tlatlapo,Tepotzon,Tecuayatequi,Tapaleuia,Tequichiuhqui,Momatzoqui,Tezinecuil,Ceninquinpia,Cuautecatl,Unspecified
55,Santa Ursula Cimatepec,Tiz_4,Cimatepec,Tizatlan,Santa Maria Concepcion Atlihuetzian,6,7,587654,2147442,0,0,0,0,0.15,0,0.15,0.85,,485,0,0,87,0,0,3,0,0,0,0,0,0,0,0,30,22,0,0,0,0,0,7,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,304,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,San Bartolome Matlalocan,Tiz_4,Matlalocan,Tizatlan,Santa Maria Concepcion Atlihuetzian,7,4,591605,2150723,0,0,0,0,0.1,0,0.1,0.9,,226,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,San Andres Ahuazhuatepec,Tiz_5,Ahuazhuatepec,Tizatlan,San Andres Ahuazhuatepec,1,4,594089.1334,2143017.618,0,0,0,0,0.15,0,0.15,0.85,,286,0,0,69,0,0,3,0,0,0,0,0,1,2,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,163,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,San Salvador Tzompantzinco,Tiz_5,Tzompantzinco,Tizatlan,San Andres Ahuazhuatepec,2,7,595440.1457,2142673.004,0,0,0,0,0,0,0,1,,445,0,0,56,0,0,6,0,0,0,0,0,2,7,0,15,22,0,0,0,0,0,9,0,2,0,0,0,0,0,0,1,5,0,0,0,6,0,0,0,0,0,295,1,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
59,San Juan Quetzalcohuapan,Tiz_5,Quetzalcohuapan,Tizatlan,San Andres Ahuazhuatepec,3,1,597534.7941,2142936.541,0,0,0,0,0,0,0,1,,265,1,0,15,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,199,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Santa Maria Tocatlan,Tiz_5,Tocatlan,Tizatlan,San Andres Ahuazhuatepec,4,1,601719.3856,2144251.968,0,0,0,0,0,0,0,1,,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
61,San Cosme Xaloztoc,Tiz_5,Xaloztoc,Tizatlan,San Andres Ahuazhuatepec,5,2,599870,2145806,0,0,0,0,0,0,0,1,,214,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,San Pedro Cuauhoztoc,Tiz_5,Cuauhoztoc,Tizatlan,San Andres Ahuazhuatepec,6,2,593958.6494,2145533.423,0,0,0,0,0.4,0,0.4,0.6,,116,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Santiago Tecatzinco,Tiz_5,Tecatzinco,Tizatlan,San Andres Ahuazhuatepec,7,3,589534.7203,2152869.431,0,0,0,0,0,0,0,1,,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,San Lorenzo Zocac,Tiz_5,Zocac,Tizatlan,San Andres Ahuazhuatepec,8,5,593068.1516,2158250.009,0,0,0,0,0,0,0,1,,451,0,0,38,0,0,0,0,0,0,0,0,0,0,0,9,34,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
