NUM,Variable,Occupation,Occupation2,Occupation2Status,English,Spanish,Nahuatl,Sectors3,Sectors4,Sectors3b,Sectors4b,Subsector,Industry,GovtChurchDemand,SpanishDemand,NobleDemand,LuxuryDemand,UtilDemand,TotalCountOccu,Ubiquity_Agg,Ubiquity_Barrios,Gini_Bar,HHI_Bar,HHIeq_Bar,HooverNon-Wt_Bar,CoulterNon-Wt_Bar,Atkinson_Bar,SD_Bar,CVNorm_Bar,Gini_Agg,HHI_Agg,HHIeq_Agg,HooverNon-Wt_Agg,CoulterNon-Wt_Agg,Atkinson_Agg,SD_Agg,CVNprm_Agg,PctRenter,Renter,PctFree,Free,RF_Ratio,FR_Ratio
136,Sandal_T,Sandal,Sandal,Sandal_T,Sandalmakers,Huaracheros ,Cacchiuhque / Caczoc,Sec,Sec,Sec,Sec,LightInd,LuxCraft,FALSE,FALSE,TRUE,TRUE,FALSE,103,25,31,0.90736246,0.047789613,20.92504931,0.856481481,0.146901298,0.871318124,1.459347193,0.208716087,0.77806432,0.069846357,14.317139,0.638956311,0.164653207,0.667522078,3.021705539,0.236550906,0.776699029,80,0.223300971,23,3.47826087,0.2875
141,Feather_T,Feather,Feather,Feather_T,Featherworkers,Artesanos de plumas,Amanteca / Ihuiamanteca,Sec,Sec,Sec,Sec,LightInd,PrestCraft,FALSE,FALSE,TRUE,FALSE,FALSE,54,9,10,0.977194787,0.197530864,5.0625,0.953703704,0.310564997,0.963966646,1.617491598,0.441248046,0.928819444,0.207133059,4.82781457,0.859375,0.30944148,0.890637796,2.977261712,0.444562629,0.222222222,12,0.685185185,37,0.324324324,3.083333333
146,Dyer_T,Dyer,Dyer,Dyer_T,Dyers,Tintoreros,Tlapaleque ,Sec,Sec,Sec,Sec,LightInd,PrestCraft,FALSE,FALSE,TRUE,FALSE,FALSE,15,5,6,0.981790123,0.235555556,4.245283019,0.972222222,0.339798415,0.975176804,0.49159604,0.482782632,0.942708333,0.244444444,4.090909091,0.921875,0.338245062,0.926808859,0.903997954,0.485943624,0.466666667,7,0.533333333,8,0.875,1.142857143
150,Paper_T,Paper,Paper,Paper_T,Paper Makers,Fabricantes de papel,Amauitequi ,Sec,Sec,Sec,Sec,LightInd,PrestCraft,FALSE,FALSE,TRUE,FALSE,FALSE,2,2,2,0.990740741,0.5,2,0.990740741,0.497679802,0.990740741,0.096001005,0.707099133,0.96875,0.5,2,0.96875,0.492125492,0.96875,0.175368094,0.707017697,0,0,1,2,0,Inf
154,Rope_T,Rope,Rope,Rope_T,Rope Maker,Fabricantes de cuerdas,Tlamallique,Sec,Sec,Sec,Sec,LightInd,UtilCraft,TRUE,TRUE,TRUE,FALSE,FALSE,6,2,2,0.992283951,0.555555556,1.8,0.990740741,0.524845656,0.991005514,0.303723661,0.745696142,0.973958333,0.555555556,1.8,0.96875,0.51958183,0.969643609,0.55545634,0.746463157,0.5,3,0.166666667,1,3,0.333333333
158,Smelter_T,Smelter,Smelter,Smelter_T,Smelters,Herrero / Fundidor,Tepozpitzque,Sec,Sec,Sec,Sec,LightInd,Metal,FALSE,TRUE,TRUE,FALSE,FALSE,10,5,5,0.982407407,0.24,4.166666667,0.976851852,0.343052744,0.978096658,0.330869447,0.487406354,0.940625,0.24,4.166666667,0.921875,0.334944025,0.926076219,0.596783708,0.481201151,0.4,4,0.4,4,1,1
162,Apprentice_T,Apprentice,Apprentice,Apprentice_T,Apprentice Artisan,Aprendiz artesano,Telpopochtin,Sec,Sec,Sec,Sec,LightInd,PrestCraft,FALSE,FALSE,TRUE,FALSE,FALSE,33,2,2,0.995089787,0.941230487,1.062439024,0.990740741,0.684324798,0.99378315,2.178070763,0.972282719,0.98342803,0.941230487,1.062439024,0.96875,0.68029607,0.97901813,3.999968998,0.977355103,0.03030303,1,0,0,Inf,0
166,Spinner_T,Spinner,Spinner,Spinner_T,Thread Spinners,Hiladores,Tzauhque / Setatzauhque,Sec,Sec,Sec,Sec,LightInd,SpTextile,FALSE,TRUE,TRUE,FALSE,FALSE,28,12,16,0.951388889,0.107142857,9.333333333,0.925925926,0.226399235,0.93433646,0.611404675,0.321666064,0.890625,0.147959184,6.75862069,0.8125,0.257229648,0.840172687,1.28328695,0.369551905,0.142857143,4,0.714285714,20,0.2,5
170,Shoe_T,Shoe,Shoe,Shoe_T,Shoemakers,Zapatero,Zapatero,Sec,Sec,Sec,Sec,LightInd,SpTextile,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0.99537037,1,1,0.99537037,0.705468061,0.99537037,0.068041382,1.002322884,0.984375,1,1,0.984375,0.70156076,0.984375,0.125,1.007905261,1,1,0,0,Inf,0
174,Doctor_T,Doctor,Doctor,Doctor_T,Doctors,Médicos,Tlamatque / Tactitl,Tert,Tert,Tert,Tert,InfoHum,Med,FALSE,FALSE,FALSE,FALSE,TRUE,77,28,32,0.90530303,0.047056839,21.25089606,0.851851852,0.145648909,0.867332516,1.081667373,0.206936703,0.711241883,0.050092764,19.96296296,0.586241883,0.131277882,0.603650666,1.801055136,0.188601865,0.727272727,56,0.233766234,18,3.111111111,0.321428571
180,Scribe_T,Scribe,Scribe,Scribe_T,Scribes / Painters,Escritores / Pintores,Tlacuiloque,Tert,Tert,Tert,Tert,InfoHum,InfoServ,TRUE,TRUE,TRUE,FALSE,FALSE,44,10,12,0.966329966,0.128099174,7.806451613,0.944444444,0.24846483,0.951721642,1.054419353,0.353016669,0.903409091,0.146694215,6.816901408,0.84375,0.25599728,0.864523096,2.00693243,0.36778141,0.159090909,7,0.818181818,36,0.194444444,5.142857143
184,Tailor_T,Tailor,Tailor,Tailor_T,Tailors,Sastre,Tlatzoqui / Tlatzonqui,Sec,Sec,Sec,Sec,LightInd,SpTextile,FALSE,TRUE,TRUE,FALSE,FALSE,3,2,2,0.992283951,0.555555556,1.8,0.990740741,0.524845656,0.991005514,0.15186183,0.745696142,0.973958333,0.555555556,1.8,0.96875,0.51958183,0.969643609,0.27772817,0.746463157,1,3,0,0,Inf,0
188,Butcher_T,Butcher,Butcher,Butcher_T,Butcher,Carnecero,Calnecelo ,Tert,Tert,Tert,Tert,RetailLodg,SpRetail,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0.99537037,1,1,0.99537037,0.705468061,0.99537037,0.068041382,1.002322884,0.984375,1,1,0.984375,0.70156076,0.984375,0.125,1.007905261,0,0,1,1,0,Inf
192,Baker_T,Baker,Baker,Baker_T,Baker,Panadero / Tortillero,Tlaxcalchiuhque,Tert,Tert,Tert,Tert,RetailLodg,SpRetail,FALSE,TRUE,TRUE,FALSE,FALSE,3,2,2,0.992283951,0.555555556,1.8,0.990740741,0.524845656,0.991005514,0.15186183,0.745696142,0.973958333,0.555555556,1.8,0.96875,0.51958183,0.969643609,0.27772817,0.746463157,1,3,0,0,Inf,0
196,Teamster_T,Teamster,Teamster,Teamster_T,Teamsters,Carretero,Caritelo / Caliteloxme ,Tert,Tert,Tert,Tert,TranspDistr,Transp,TRUE,TRUE,TRUE,FALSE,FALSE,14,6,6,0.982804233,0.275510204,3.62962963,0.972222222,0.368022129,0.976264191,0.496932884,0.522882639,0.941964286,0.275510204,3.62962963,0.90625,0.360475522,0.919891643,0.899183933,0.517881267,0.714285714,10,0.214285714,3,3.333333333,0.3
200,Innkeeper_T,Innkeeper,Innkeeper,Innkeeper_T,Innkeepers,Venteros / Mesonero,Ventelo ,Tert,Tert,Tert,Tert,RetailLodg,SpRetail,TRUE,TRUE,FALSE,FALSE,FALSE,7,2,2,0.994047619,0.755102041,1.324324324,0.990740741,0.612565266,0.992130305,0.413567284,0.870327401,0.979910714,0.755102041,1.324324324,0.96875,0.60806128,0.973439778,0.75838566,0.873578168,0,0,1,7,0,Inf
204,LandBuyer_T,LandBuyer,LandBuyer,LandBuyer_T,Land Buyers,Compradores de tierras,Tlalcouhque,Tert,Tert,Tert,Tert,AdminPub,FinAdmin,FALSE,TRUE,FALSE,FALSE,FALSE,3,2,2,0.992283951,0.555555556,1.8,0.990740741,0.524845656,0.991005514,0.15186183,0.745696142,0.973958333,0.555555556,1.8,0.96875,0.51958183,0.969643609,0.27772817,0.746463157,0,0,1,3,0,Inf
208,Wholesaler_T,Wholesaler,Wholesaler,Wholesaler_T,Merchant Wholesalers,Comerciante mayorista / distribuidor,Tlaneschicolti,Tert,Tert,Tert,Tert,TranspDistr,Wholesale,TRUE,FALSE,TRUE,TRUE,FALSE,20,6,12,0.95787037,0.105,9.523809524,0.944444444,0.224020502,0.947421971,0.432129116,0.31828638,0.9484375,0.315,3.174603175,0.90625,0.386894689,0.92202017,1.378692733,0.555836664,0.4,8,0.6,12,0.666666667,1.5
212,Merchant_T,Merchant,Merchant,Merchant_T,Merchants,Mercaderes,Acxoteca,Tert,Tert,Tert,Tert,TranspDistr,Distrib,TRUE,FALSE,TRUE,TRUE,FALSE,290,6,12,0.952905492,0.101070155,9.894117647,0.944444444,0.219591126,0.946398929,6.141982162,0.311993161,0.945581897,0.300832342,3.324110672,0.90625,0.377629013,0.92025451,19.51228246,0.542525025,0.124137931,36,0.875862069,254,0.141732283,7.055555556
216,MerchNoble_T,MerchNoble,MerchNoble,MerchNoble_T,Noble Merchants,Mercaderes Nobiles,Acxoteca Pipiltin,Tert,Tert,Tert,Tert,TranspDistr,FinAdmin,TRUE,FALSE,TRUE,TRUE,TRUE,44,6,12,0.96506734,0.125,8,0.944444444,0.245326691,0.950806393,1.041101914,0.348558028,0.968039773,0.58161157,1.719360568,0.90625,0.531971132,0.942609279,4.170474451,0.764262389,NA,NA,NA,NA,NA,NA
218,Quetzalhuaque_T,Quetzalhuaque,Quetzalhuaque,Quetzalhuaque_T,Quetzalhuaque Merchants,Mercaderes Quetzalhuaque,Quetzalhuaque,Tert,Tert,Tert,Tert,TranspDistr,Distrib,TRUE,FALSE,TRUE,TRUE,FALSE,17,2,2,0.991557734,0.515570934,1.939597315,0.990740741,0.505441047,0.990813399,0.828734078,0.718126243,0.971507353,0.515570934,1.939597315,0.96875,0.499972966,0.96899522,1.514398487,0.71829186,0.470588235,8,0.529411765,9,0.888888889,1.125
222,MerchTecutli_T,MerchTecutli,MerchTecutli,MerchTecutli_T,Merchant Tecuhtli,Mercader Tecuhtli,Teuhctin Acxoteca,Tert,Tert,Tert,Tert,TranspDistr,FinAdmin,TRUE,FALSE,TRUE,TRUE,FALSE,2,1,2,0.990740741,0.5,2,0.990740741,0.497679802,0.990740741,0.096001005,0.707099133,0.984375,1,1,0.984375,0.70156076,0.984375,0.25,1.007905261,NA,NA,NA,NA,NA,NA
224,TaxOfficial_T,TaxOfficial,TaxOfficial,TaxOfficial_T,Tribute Officials,Oficiales del tributo,Tequitque,Tert,Quat,Tert,Quat,AdminPub,FinAdmin,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,2,0.990740741,0.5,2,0.990740741,0.497679802,0.990740741,0.288003015,0.707099133,0.96875,0.5,2,0.96875,0.492125492,0.96875,0.526104281,0.707017697,0.166666667,1,0.833333333,5,0.2,5
228,CenPix_T,CenPix,CenPix,CenPix_T,Headmen of 20,Mandones de 20,Centecpanpixque,Tert,Quat,Tert,Quat,AdminPub,GovtServ,TRUE,FALSE,FALSE,FALSE,FALSE,314,62,125,0.666194857,0.014097935,70.9323741,0.520995518,0.068805179,0.506687553,2.083754479,0.0977578,0.317874204,0.020852773,47.95525292,0.220640924,0.051126182,0.102175757,2.860340473,0.073451012,0.398089172,125,0.51910828,163,0.766871166,1.304
234,MacPix_T,MacPix,MacPix,MacPix_T,Headmen of 100,Mandones de 100,Macuiltecpanpixque,Tert,Quat,Tert,Quat,AdminPub,GovtServ,TRUE,FALSE,FALSE,FALSE,FALSE,60,42,49,0.805401235,0.022777778,43.90243902,0.773148148,0.095257934,0.778681903,0.551249462,0.135341644,0.472916667,0.027777778,36,0.34375,0.077951196,0.368007244,0.833333333,0.111989473,0.2,12,0.3,18,0.666666667,1.5
239,Constable_T,Constable,Constable,Constable_T,Constables,Merino,Tepanpixque,Tert,Quat,Tert,Quat,AdminPub,GovtServ,TRUE,FALSE,FALSE,FALSE,FALSE,30,7,10,0.969753086,0.14,7.142857143,0.953703704,0.260163766,0.958354127,0.752772653,0.369638415,0.911458333,0.162222222,6.164383562,0.890625,0.270737162,0.894097036,1.447151005,0.38895763,0.133333333,4,0.8,24,0.166666667,6
243,Fiscal_T,Fiscal,Fiscal,Fiscal_T,Fiscal,Fiscal,Tlapactlapia,Tert,Quat,Tert,Quat,AdminPub,FinAdmin,TRUE,FALSE,FALSE,FALSE,FALSE,8,6,6,0.976851852,0.1875,5.333333333,0.972222222,0.302382515,0.973016541,0.233314876,0.429622446,0.921875,0.1875,5.333333333,0.90625,0.293150985,0.908930826,0.417855447,0.421158704,0.125,1,0.75,6,0.166666667,6
247,Catechist_T,Catechist,Catechist,Catechist_T,Catechists,Catequistas,Pipiltotontin quipia / quimocuitlavia / quimaana,Tert,Quat,Tert,Quat,AdminPub,ChurchEdu,TRUE,FALSE,FALSE,FALSE,TRUE,11,4,4,0.988636364,0.388429752,2.574468085,0.981481481,0.438063992,0.983917743,0.464757075,0.622397509,0.961647727,0.388429752,2.574468085,0.9375,0.431743415,0.945722381,0.846180729,0.620269097,0,0,1,11,0,Inf
251,Singer_T,Singer,Singer,Singer_T,Church Singers,Cantores de la iglesia,Cuiconemme / Cuicani / Tlapitzque,Tert,Tert,Tert,Tert,AdminPub,ChurchServ,TRUE,FALSE,FALSE,FALSE,TRUE,187,3,5,0.988685878,0.377219823,2.650974149,0.976851852,0.431619157,0.982993137,7.784631993,0.613240743,0.963653075,0.390889073,2.558270539,0.953125,0.433165138,0.955188284,14.43244217,0.622311632,0.315508021,59,0.042780749,8,7.375,0.13559322
256,Bell_T,Bell,Bell,Bell_T,BellRingers_T,Campanero,Tlatziliniani,Tert,Tert,Tert,Tert,AdminPub,ChurchServ,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,1,0.99537037,1,1,0.99537037,0.705468061,0.99537037,0.136082763,1.002322884,0.984375,1,1,0.984375,0.70156076,0.984375,0.25,1.007905261,0,0,1,2,0,Inf
260,Unk_T,Unk,Unk,Unk_T,Unknown Occupation,Oficio desconocido,NA,Unk,Unk,Unk,Unk,Unk,Unk,FALSE,FALSE,FALSE,FALSE,FALSE,9,2,2,0.994341564,0.802469136,1.246153846,0.990740741,0.631600944,0.992460466,0.54825304,0.897373127,0.980902778,0.802469136,1.246153846,0.96875,0.627233663,0.974554072,1.005811486,0.90112239,0.777777778,7,0.222222222,2,3.5,0.285714286
264,Slave_T,Slave,Slave,Slave_T,Slaves,Esclavos,Tlacotin,Unk,Unk,Unk,Unk,Unk,Unk,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1,0.99537037,1,1,0.99537037,0.705468061,0.99537037,0.272165527,1.002322884,0.984375,1,1,0.984375,0.70156076,0.984375,0.5,1.007905261,0,0,0,0,NA,NA
268,PresentNotVisible_T,PresentNotVisible,PresentNotVisible,PresentNotVisible_T,Occupation present but not visible,Oficio presente pero no visible,NA,Unk,Unk,Unk,Unk,Unk,Unk,FALSE,FALSE,FALSE,FALSE,FALSE,8,4,4,0.984953704,0.28125,3.555555556,0.981481481,0.371900773,0.982107109,0.286954366,0.528393383,0.94921875,0.28125,3.555555556,0.9375,0.364434493,0.939611494,0.519462482,0.523568968,0.125,1,0.5,4,0.25,4
272,CantSeeIfOccu_T,CantSeeIfOccu,CantSeeIfOccu,CantSeeIfOccu_T,Cannot see if occupation present,No se puede ver si hay oficios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,764,16,39,0.935791158,0.124883501,8.007462891,0.848216017,0.245207944,0.887199589,18.06856498,0.348389313,0.917661976,0.188625586,5.30150772,0.827797775,0.294109321,0.852762083,40.0356488,0.422535509,0.570680628,436,0.328534031,251,1.737051793,0.575688073
